Parking_test;Training_list by;Accuracy;OER;TP;TN;FP;FN
UFPR04;UFPR05;0.6040268456375839;0.3959731543624161;168;102;134;43
UFPR04;PUCPR;0.6666666666666666;0.33333333333333337;124;174;62;87
UFPR04;UFPR04;0.901565995525727;0.09843400447427297;171;232;4;40
UFPR05;UFPR05;0.9169184290030211;0.08308157099697888;327;280;5;50
UFPR05;PUCPR;0.648036253776435;0.35196374622356497;177;252;33;200
UFPR05;UFPR04;0.6737160120845922;0.3262839879154078;232;214;71;145
PUCPR;UFPR05;0.6454545454545455;0.3545454545454545;402;237;270;81
PUCPR;PUCPR;0.907070707070707;0.09292929292929297;408;490;17;75
PUCPR;UFPR04;0.6868686868686869;0.31313131313131315;335;345;162;148
UFPR04;All trainings;0.8881431767337807;0.11185682326621926;172;225;11;39
UFPR05;All trainings;0.9123867069486404;0.08761329305135956;324;280;5;53
PUCPR;All trainings;0.901010101010101;0.09898989898989896;409;483;24;74
